id,recipe,link,imgLink,subCatId
R02858,Baked Beans with Beef,https://www.allrecipes.com/recipe/265374/baked-beans-with-beef/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F843136.jpg,SC089
R02859,Easy Baked Beans,https://www.allrecipes.com/recipe/238563/easy-baked-beans/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F2268693.jpg,SC089
R02860,Broccoli Salad,https://www.allrecipes.com/recipe/14280/fresh-broccoli-salad/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2022%2F03%2F22%2F14280-FreshBroccoliSalad-mfs-00940.jpg,SC090
R02861,Easy Roasted Broccoli,https://www.allrecipes.com/recipe/240438/easy-roasted-broccoli/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2022%2F05%2F15%2F1765553-easy-roasted-broccoli-FranceC-1x1-1.jpg,SC090
R02862,Awesome Broccoli-Cheese Casserole,https://www.allrecipes.com/recipe/13606/awesome-broccoli-cheese-casserole/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F-0001%2F11%2F30%2F2883617.jpg,SC090
R02863,Cheese Sauce for Broccoli and Cauliflower,https://www.allrecipes.com/recipe/233481/cheese-sauce-for-broccoli-and-cauliflower/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2022%2F04%2F22%2F233481-cheese-sauce-for-broccoli-and-cauliflower-torricus-1x1-1.jpg,SC090
R02864,Broccoli Potato Bake,https://www.allrecipes.com/recipe/16476/broccoli-potato-bake/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F582459.jpg,SC090
R02865,Roasted Garlic Lemon Broccoli,https://www.allrecipes.com/recipe/144346/roasted-garlic-lemon-broccoli/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F549154.jpg,SC090
R02866,Broccoli Rice Casserole,https://www.allrecipes.com/recipe/18253/broccoli-rice-casserole/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F3627656.jpg,SC090
R02867,Loaded Baked Potato,https://www.allrecipes.com/recipe/272490/loaded-baked-potato/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F6531145.jpg,SC090
R02868,Broccoli Cheese Bake,https://www.allrecipes.com/recipe/20516/broccoli-cheese-bake/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F392594.jpg,SC090
